fecha,ccl
2015-01-24,12.1000
2015-01-25,12.1000
2015-01-26,12.1800
2015-01-27,12.2000
2015-01-28,12.1900
2015-01-29,12.3100
2015-01-30,12.1900
2015-01-31,12.1900
2015-02-01,12.1900
2015-02-02,12.2200
2015-02-03,12.0200
2015-02-04,12.3300
2015-02-05,12.2700
2015-02-06,12.1100
2015-02-07,12.1100
2015-02-08,12.1100
2015-02-09,12.3100
2015-02-10,12.3000
2015-02-11,12.2500
2015-02-12,12.2100
2015-02-13,12.2000
2015-02-14,12.2000
2015-02-15,12.2000
2015-02-16,12.2000
2015-02-17,12.2000
2015-02-18,12.2900
2015-02-19,12.2300
2015-02-20,12.2200
2015-02-21,12.2200
2015-02-22,12.2200
2015-02-23,11.9600
2015-02-24,11.8900
2015-02-25,11.7400
2015-02-26,11.7700
2015-02-27,11.6800
2015-02-28,11.6800
2015-03-01,11.6800
2015-03-02,11.9200
2015-03-03,11.8200
2015-03-04,11.8400
2015-03-05,11.8200
2015-03-06,11.7400
2015-03-07,11.7400
2015-03-08,11.7400
2015-03-09,11.8700
2015-03-10,11.9100
2015-03-11,11.8700
2015-03-12,11.8600
2015-03-13,11.8100
2015-03-14,11.8100
2015-03-15,11.8100
2015-03-16,11.9700
2015-03-17,12.0000
2015-03-18,11.9100
2015-03-19,12.0400
2015-03-20,12.0700
2015-03-21,12.0700
2015-03-22,12.0700
2015-03-23,12.0700
2015-03-24,12.0700
2015-03-25,11.9700
2015-03-26,12.0100
2015-03-27,11.7500
2015-03-28,11.7500
2015-03-29,11.7500
2015-03-30,11.9000
2015-03-31,11.9700
2015-04-01,12.1300
2015-04-02,12.1300
2015-04-03,12.1300
2015-04-04,12.1300
2015-04-05,12.1300
2015-04-06,11.9900
2015-04-07,12.1300
2015-04-08,12.1300
2015-04-09,11.8500
2015-04-10,11.9500
2015-04-11,11.9500
2015-04-12,11.9500
2015-04-13,11.9300
2015-04-14,11.8600
2015-04-15,12.1500
2015-04-16,12.1400
