fecha,ticker,cierre
2022-01-06,FXI,32.238125
2022-01-06,GDX,28.252636
2022-01-06,GLD,166.990005
2022-01-06,IBB,140.684479
2022-01-06,ICLN,18.591480
2022-01-06,IEMG,52.433857
2022-01-06,IEUR,50.144722
2022-01-06,IJH,52.555298
2022-01-06,ILF,17.260077
2022-01-06,ITA,101.722549
2022-01-06,IVE,145.200974
2022-01-06,IVV,441.087433
2022-01-06,IVW,78.306625
2022-01-06,IWM,206.657822
2022-01-06,JPMB,35.921726
2022-01-06,MERVAL,387.363552
2022-01-06,MUB,101.700211
2022-01-06,PSQ,46.631657
2022-01-06,QQQ,373.577087
2022-01-06,RSP,150.070175
2022-01-06,SH,46.379410
2022-01-06,SLV,20.510000
2022-01-06,SMH,149.343231
2022-01-06,SPHQ,49.737823
2022-01-06,SPXL,131.950424
2022-01-06,SPY,440.293701
2022-01-06,TQQQ,35.482533
2022-01-06,URA,20.317970
2022-01-06,USO,56.889999
2022-01-06,VEA,44.366196
2022-01-06,VIG,156.302902
2022-01-06,VXX,310.079987
2022-01-06,XLB,40.858253
2022-01-06,XLC,72.871918
2022-01-06,XLE,25.858896
2022-01-06,XLF,37.652706
2022-01-06,XLI,99.464348
2022-01-06,XLK,80.944862
2022-01-06,XLP,68.663063
2022-01-06,XLRE,42.498035
2022-01-06,XLU,30.524879
2022-01-06,XLV,125.448921
2022-01-06,XLY,97.629852
2022-01-06,XME,43.735558
2022-01-07,ACWI,96.589386
2022-01-07,ARKK,83.721771
2022-01-07,CIBR,48.444256
2022-01-07,COPX,33.778709
2022-01-07,DIA,334.396118
2022-01-07,EEM,44.114491
2022-01-07,EFA,68.604172
2022-01-07,ESGU,99.400558
2022-01-07,EWJ,59.977261
2022-01-07,EWY,71.308090
2022-01-07,EWZ,19.860823
2022-01-07,FXI,32.930359
2022-01-07,GDX,28.489973
2022-01-07,GLD,167.750000
2022-01-07,IBB,138.837250
2022-01-07,ICLN,18.506760
2022-01-07,IEMG,52.902496
2022-01-07,IEUR,50.412361
2022-01-07,IJH,52.154156
2022-01-07,ILF,17.611107
2022-01-07,ITA,102.561081
2022-01-07,IVE,145.586945
2022-01-07,IVV,439.322937
2022-01-07,IVW,77.549873
2022-01-07,IWM,204.266037
2022-01-07,JPMB,35.896748
2022-01-07,MERVAL,393.923271
2022-01-07,MUB,101.559860
2022-01-07,PSQ,47.131271
2022-01-07,QQQ,369.530151
2022-01-07,RSP,149.829407
2022-01-07,SH,46.547207
2022-01-07,SLV,20.620001
2022-01-07,SMH,144.802460
2022-01-07,SPHQ,49.662746
2022-01-07,SPXL,130.437622
2022-01-07,SPY,438.553040
2022-01-07,TQQQ,34.322334
2022-01-07,URA,21.030272
2022-01-07,USO,56.669998
2022-01-07,VEA,44.549488
2022-01-07,VIG,155.520889
2022-01-07,VXX,301.119995
2022-01-07,XLB,40.821686
2022-01-07,XLC,72.881462
2022-01-07,XLE,26.213600
2022-01-07,XLF,38.096878
2022-01-07,XLI,99.436333
2022-01-07,XLK,80.200531
2022-01-07,XLP,68.734100
2022-01-07,XLRE,42.274948
2022-01-07,XLU,30.756399
2022-01-07,XLV,124.807945
2022-01-07,XLY,96.003159
2022-01-07,XME,44.215427
2022-01-10,ACWI,96.311516
2022-01-10,ARKK,83.939957
2022-01-10,CIBR,48.847313
2022-01-10,COPX,33.706760
2022-01-10,DIA,332.993225
2022-01-10,EEM,44.114491
2022-01-10,EFA,67.968391
2022-01-10,ESGU,99.315704
2022-01-10,EWJ,59.833328
2022-01-10,EWY,70.195198
2022-01-10,EWZ,19.656895
2022-01-10,FXI,32.948338
2022-01-10,GDX,28.964647
2022-01-10,GLD,168.259995
2022-01-10,IBB,140.427628
2022-01-10,ICLN,18.422039
2022-01-10,IEMG,52.858276
2022-01-10,IEUR,49.764835
2022-01-10,IJH,51.951710
2022-01-10,ILF,17.416920
2022-01-10,ITA,101.606895
2022-01-10,IVE,145.044724
2022-01-10,IVV,438.497101
2022-01-10,IVW,77.608055
2022-01-10,IWM,203.557007
2022-01-10,JPMB,35.747620
2022-01-10,MERVAL,391.391317
2022-01-10,MUB,101.366913
2022-01-10,PSQ,47.089638
2022-01-10,QQQ,369.773376
2022-01-10,RSP,149.079147
2022-01-10,SH,46.547207
2022-01-10,SLV,20.760000
2022-01-10,SMH,144.987793
2022-01-10,SPHQ,49.653362
2022-01-10,SPXL,129.926941
2022-01-10,SPY,438.007263
2022-01-10,TQQQ,34.448597
2022-01-10,URA,20.656746
2022-01-10,USO,56.160000
2022-01-10,VEA,44.139256
2022-01-10,VIG,154.582458
2022-01-10,VXX,295.519989
2022-01-10,XLB,40.405701
2022-01-10,XLC,72.423790
2022-01-10,XLE,26.132401
2022-01-10,XLF,37.967339
2022-01-10,XLI,98.315834
2022-01-10,XLK,80.215042
2022-01-10,XLP,68.192551
2022-01-10,XLRE,42.026123
2022-01-10,XLU,30.555450
2022-01-10,XLV,126.089920
2022-01-10,XLY,95.416008
2022-01-10,XME,43.850719
2022-01-11,ACWI,97.460075
2022-01-11,ARKK,86.260605
2022-01-11,CIBR,49.643581
2022-01-11,COPX,34.651054
2022-01-11,DIA,334.608521
2022-01-11,EEM,45.134121
2022-01-11,EFA,68.708687
2022-01-11,ESGU,100.249176
2022-01-11,EWJ,60.301125
2022-01-11,EWY,71.942726
2022-01-11,EWZ,20.385199
2022-01-11,FXI,34.000164
2022-01-11,GDX,29.562735
2022-01-11,GLD,170.289993
2022-01-11,IBB,141.771057
2022-01-11,ICLN,18.582066
2022-01-11,IEMG,53.990070
2022-01-11,IEUR,50.317394
2022-01-11,IJH,52.431587
2022-01-11,ILF,17.932259
2022-01-11,ITA,102.782753
2022-01-11,IVE,146.064835
2022-01-11,IVV,442.823669
2022-01-11,IVW,78.452171
2022-01-11,IWM,205.721878
2022-01-11,JPMB,35.840733
2022-01-11,MERVAL,400.425472
2022-01-11,MUB,101.314270
2022-01-11,PSQ,46.340206
2022-01-11,QQQ,375.328125
2022-01-11,RSP,150.487000
2022-01-11,SH,46.144497
2022-01-11,SLV,21.049999
2022-01-11,SMH,147.914169
2022-01-11,SPHQ,50.066277
2022-01-11,SPXL,133.424713
2022-01-11,SPY,441.996704
2022-01-11,TQQQ,35.963776
2022-01-11,URA,20.917343
2022-01-11,USO,58.160000
2022-01-11,VEA,44.662952
2022-01-11,VIG,155.217316
2022-01-11,VXX,285.119995
2022-01-11,XLB,40.849113
2022-01-11,XLC,73.329575
2022-01-11,XLE,27.021288
2022-01-11,XLF,38.300465
2022-01-11,XLI,98.904083
2022-01-11,XLK,81.176888
2022-01-11,XLP,68.112625
2022-01-11,XLRE,41.957474
2022-01-11,XLU,30.280256
2022-01-11,XLV,127.093208
2022-01-11,XLY,96.335236
2022-01-11,XME,44.618515
2022-01-12,ACWI,98.052872
2022-01-12,ARKK,83.860611
2022-01-12,CIBR,49.279850
2022-01-12,COPX,36.521660
2022-01-12,DIA,334.987061
2022-01-12,EEM,45.883041
2022-01-12,EFA,69.379318
2022-01-12,ESGU,100.484901
2022-01-12,EWJ,61.164749
2022-01-12,EWY,73.368324
2022-01-12,EWZ,21.011538
2022-01-12,FXI,34.755318
2022-01-12,GDX,30.103865
2022-01-12,GLD,170.740005
2022-01-12,IBB,140.200409
2022-01-12,ICLN,18.629137
2022-01-12,IEMG,54.883129
2022-01-12,IEUR,50.749081
2022-01-12,IJH,52.264748
2022-01-12,ILF,18.417721
2022-01-12,ITA,102.821320
2022-01-12,IVE,146.184357
2022-01-12,IVV,443.996796
2022-01-12,IVW,78.830544
2022-01-12,IWM,204.190369
2022-01-12,JPMB,35.818008
2022-01-12,MERVAL,402.897453
2022-01-12,MUB,101.287941
2022-01-12,PSQ,46.256931
2022-01-12,QQQ,376.816528
2022-01-12,RSP,150.607391
2022-01-12,SH,46.043812
2022-01-12,SLV,21.450001
2022-01-12,SMH,149.177399
2022-01-12,SPHQ,50.188278
2022-01-12,SPXL,134.513535
2022-01-12,SPY,443.191742
2022-01-12,TQQQ,36.373524
2022-01-12,URA,21.004211
2022-01-12,USO,58.910000
2022-01-12,VEA,45.143013
2022-01-12,VIG,155.511703
2022-01-12,VXX,282.079987
2022-01-12,XLB,41.260529
2022-01-12,XLC,73.424904
2022-01-12,XLE,27.072569
2022-01-12,XLF,38.328209
2022-01-12,XLI,99.221565
2022-01-12,XLK,81.558716
2022-01-12,XLP,68.139267
2022-01-12,XLRE,42.069019
2022-01-12,XLU,30.376362
2022-01-12,XLV,126.730919
2022-01-12,XLY,96.970520
2022-01-12,XME,45.626247
2022-01-13,ACWI,96.737595
2022-01-13,ARKK,79.318497
2022-01-13,CIBR,47.667664
2022-01-13,COPX,36.089985
2022-01-13,DIA,333.371765
2022-01-13,EEM,45.233379
2022-01-13,EFA,68.874184
2022-01-13,ESGU,98.938545
2022-01-13,EWJ,60.553013
2022-01-13,EWY,72.080688
2022-01-13,EWZ,20.967842
2022-01-13,FXI,33.928246
2022-01-13,GDX,29.657671
2022-01-13,GLD,170.160004
2022-01-13,IBB,136.367737
2022-01-13,ICLN,18.422039
2022-01-13,IEMG,54.105022
2022-01-13,IEUR,50.446903
2022-01-13,IJH,52.126034
2022-01-13,ILF,18.425190
2022-01-13,ITA,103.312874
2022-01-13,IVE,145.917801
2022-01-13,IVV,437.905731
2022-01-13,IVW,76.861008
2022-01-13,IWM,202.318542
2022-01-13,JPMB,35.686298
2022-01-13,MERVAL,411.010544
2022-01-13,MUB,101.244080
2022-01-13,PSQ,47.297825
2022-01-13,QQQ,367.389984
2022-01-13,RSP,149.912750
2022-01-13,SH,46.681442
2022-01-13,SLV,21.330000
2022-01-13,SMH,146.582672
2022-01-13,SPHQ,49.719055
2022-01-13,SPXL,129.001953
2022-01-13,SPY,437.085114
2022-01-13,TQQQ,33.733906
2022-01-13,URA,20.152924
2022-01-13,USO,58.270000
2022-01-13,VEA,44.820053
2022-01-13,VIG,154.398483
2022-01-13,VXX,299.839996
2022-01-13,XLB,40.940540
2022-01-13,XLC,72.662140
2022-01-13,XLE,26.935818
2022-01-13,XLF,38.180164
2022-01-13,XLI,99.436333
2022-01-13,XLK,79.446518
2022-01-13,XLP,68.263557
2022-01-13,XLRE,41.923157
2022-01-13,XLU,30.524879
2022-01-13,XLV,124.761513
2022-01-13,XLY,95.021378
2022-01-13,XME,44.887245
2022-01-14,ACWI,96.765388
2022-01-14,ARKK,79.576347
2022-01-14,CIBR,47.883938
2022-01-14,COPX,35.721256
2022-01-14,DIA,331.470428
2022-01-14,EEM,45.215340
2022-01-14,EFA,68.804489
2022-01-14,ESGU,98.853683
2022-01-14,EWJ,60.481052
2022-01-14,EWY,71.078163
2022-01-14,EWZ,21.200897
2022-01-14,FXI,34.269859
2022-01-14,GDX,29.401346
2022-01-14,GLD,169.669998
2022-01-14,IBB,137.256760
2022-01-14,ICLN,18.309080
2022-01-14,IEMG,54.096180
2022-01-14,IEUR,50.300125
2022-01-14,IJH,51.979816
2022-01-14,ILF,18.529747
2022-01-14,ITA,104.170685
2022-01-14,IVE,145.706436
2022-01-14,IVV,438.056000
2022-01-14,IVW,77.074448
2022-01-14,IWM,202.602173
2022-01-14,JPMB,35.420567
2022-01-14,MERVAL,414.875752
2022-01-14,MUB,101.068665
2022-01-14,PSQ,47.089638
2022-01-14,QQQ,369.676025
2022-01-14,RSP,149.653397
2022-01-14,SH,46.647884
2022-01-14,SLV,21.200001
2022-01-14,SMH,149.689529
2022-01-14,SPHQ,49.634590
2022-01-14,SPXL,129.059753
2022-01-14,SPY,437.263916
2022-01-14,TQQQ,34.243717
2022-01-14,URA,20.013939
2022-01-14,USO,59.970001
2022-01-14,VEA,44.715321
2022-01-14,VIG,153.441666
2022-01-14,VXX,295.200012
2022-01-14,XLB,40.593113
2022-01-14,XLC,72.995850
2022-01-14,XLE,27.568291
2022-01-14,XLF,37.782257
2022-01-14,XLI,98.838730
2022-01-14,XLK,80.118355
2022-01-14,XLP,68.387848
2022-01-14,XLRE,41.434082
2022-01-14,XLU,30.315208
2022-01-14,XLV,124.547844
2022-01-14,XLY,94.578613
2022-01-14,XME,45.088795
2022-01-17,MERVAL,410.657717
2022-01-18,ACWI,95.088860
2022-01-18,ARKK,76.273895
2022-01-18,CIBR,47.038517
2022-01-18,COPX,36.018036
2022-01-18,DIA,326.587952
2022-01-18,EEM,44.412266
2022-01-18,EFA,67.794205
2022-01-18,ESGU,97.071617
2022-01-18,EWJ,59.527451
2022-01-18,EWY,68.971924
2022-01-18,EWZ,21.040670
2022-01-18,FXI,33.892284
2022-01-18,GDX,29.050087
2022-01-18,GLD,169.389999
2022-01-18,IBB,131.833664
2022-01-18,ICLN,17.800755
2022-01-18,IEMG,53.185440
2022-01-18,IEUR,49.557625
2022-01-18,IJH,50.860752
2022-01-18,ILF,18.402784
2022-01-18,ITA,102.830956
2022-01-18,IVE,143.868332
2022-01-18,IVV,430.313049
